station,jaar,maand_id,maand,erosiviteit
KMI_6418,2013,7,Juli,86.51
KMI_6418,2013,8,Augustus,54.47
KMI_6418,2013,9,September,58.36
KMI_6418,2013,10,Oktober,135.37
KMI_6418,2013,11,November,86.12
KMI_6418,2013,12,December,12.76
KMI_6418,2014,1,Januari,19.1
KMI_6418,2014,2,Februari,3.52
KMI_6418,2014,3,Maart,6.17
KMI_6418,2014,4,April,234.38
KMI_6418,2014,5,Mei,46.58
KMI_6418,2014,6,Juni,49.09
KMI_6418,2014,7,Juli,378.72
KMI_6418,2014,8,Augustus,192.28
KMI_6418,2014,9,September,0.18
KMI_6418,2014,10,Oktober,20.39
KMI_6418,2014,11,November,7.73
KMI_6418,2014,12,December,20.21
KMI_6418,2015,1,Januari,71.1
KMI_6418,2015,2,Februari,15.8
KMI_6418,2015,3,Maart,9.5
KMI_6418,2015,4,April,2.41
KMI_6418,2015,5,Mei,17.44
KMI_6418,2015,6,Juni,269.5
KMI_6418,2015,7,Juli,233.42
KMI_6418,2015,8,Augustus,387.79
KMI_6418,2015,9,September,107.93
KMI_6418,2015,10,Oktober,6.49
KMI_6418,2015,11,November,59.99
KMI_6418,2015,12,December,9.86
KMI_6418,2016,1,Januari,27.98
KMI_6418,2016,2,Februari,19.48
KMI_6418,2016,3,Maart,30.38
KMI_6418,2016,4,April,11.4
KMI_6418,2016,5,Mei,36.87
KMI_6418,2016,6,Juni,80.46
KMI_6418,2016,7,Juli,50.71
KMI_6418,2016,8,Augustus,26.55
KMI_6418,2016,9,September,4.83
KMI_6418,2016,10,Oktober,53.63
KMI_6418,2016,11,November,82.21
KMI_6418,2016,12,December,0.18
KMI_6418,2017,1,Januari,31.31
KMI_6418,2017,2,Februari,29.29
KMI_6418,2017,3,Maart,6.23
KMI_6418,2017,4,April,8.57
KMI_6418,2017,5,Mei,103.43
KMI_6418,2017,6,Juni,5.38
KMI_6418,2017,7,Juli,180.66
KMI_6418,2017,8,Augustus,252.14
KMI_6418,2017,9,September,289.52
KMI_6418,2017,10,Oktober,18.88
KMI_6418,2017,11,November,37.02
KMI_6418,2017,12,December,59.12
KMI_6418,2018,1,Januari,20.23
KMI_6418,2018,2,Februari,3.87
KMI_6418,2018,3,Maart,34.39
KMI_6418,2018,4,April,51.62
KMI_6418,2018,5,Mei,38.45
KMI_6418,2018,6,Juni,0.0
KMI_6418,2018,7,Juli,11.59
KMI_6418,2018,8,Augustus,259.94
KMI_6418,2018,9,September,48.06
KMI_6418,2018,10,Oktober,52.05
KMI_6418,2018,11,November,3.27
KMI_6418,2018,12,December,17.76
KMI_6418,2019,1,Januari,12.82
KMI_6418,2019,2,Februari,11.38
KMI_6418,2019,3,Maart,51.83
KMI_6418,2019,4,April,2.35
KMI_6418,2019,5,Mei,34.94
KMI_6418,2019,6,Juni,197.36
KMI_6418,2019,7,Juli,27.45
KMI_6418,2019,8,Augustus,24.32
KMI_6418,2019,9,September,21.35
KMI_6418,2019,10,Oktober,39.74
KMI_6418,2019,11,November,11.85
KMI_6418,2019,12,December,9.27
KMI_6418,2020,1,Januari,3.56
KMI_6418,2020,2,Februari,77.59
KMI_6418,2020,3,Maart,25.07
