station,jaar,periode,erosiviteit
KMI_6414,2022,15,0.0
KMI_6414,2022,16,16.6
KMI_6414,2022,17,65.03
KMI_6414,2022,18,122.09
KMI_6414,2022,19,5.26
KMI_6414,2022,20,20.02
KMI_6414,2022,21,62.22
KMI_6414,2022,22,39.09
KMI_6414,2022,23,2.45
KMI_6414,2022,24,37.68
KMI_6414,2023,1,48.84
KMI_6414,2023,2,5.2
KMI_6414,2023,3,0.32
KMI_6414,2023,4,2.96
KMI_6414,2023,5,42.27
KMI_6414,2023,6,23.06
KMI_6414,2023,7,5.97
KMI_6414,2023,8,31.4
KMI_6414,2023,9,34.14
KMI_6414,2023,10,0.0
KMI_6414,2023,11,6.38
KMI_6414,2023,12,48.1
KMI_6414,2023,13,5.73
KMI_6414,2023,14,91.6
KMI_6414,2023,15,30.65
KMI_6414,2023,16,181.67
KMI_6414,2023,17,17.13
KMI_6414,2023,18,45.12
KMI_6414,2023,19,21.2
KMI_6414,2023,20,88.69
KMI_6414,2023,21,182.53
KMI_6414,2023,22,38.86
KMI_6414,2023,23,18.62
KMI_6414,2023,24,22.19
KMI_6414,2024,1,23.93
KMI_6414,2024,2,8.95
KMI_6414,2024,3,23.09
KMI_6414,2024,4,18.05
KMI_6414,2024,5,26.48
KMI_6414,2024,6,9.63
KMI_6414,2024,7,77.79
KMI_6414,2024,8,11.49
KMI_6414,2024,9,99.75
KMI_6414,2024,10,79.98
KMI_6414,2024,11,101.27
KMI_6414,2024,12,4.23
KMI_6414,2024,13,39.93
KMI_6414,2024,14,59.35
KMI_6414,2024,15,22.58
KMI_6414,2024,16,110.16
KMI_6414,2024,17,42.83
KMI_6414,2024,18,26.38
KMI_6414,2024,19,3.9
KMI_6414,2024,20,22.88
KMI_6414,2024,21,2.13
KMI_6414,2024,22,31.42
KMI_6414,2024,23,23.94
KMI_6414,2024,24,1.54
KMI_6418,2006,1,0.0
KMI_6418,2006,2,0.16
KMI_6418,2006,3,2.14
KMI_6418,2006,4,12.91
KMI_6418,2006,5,2.34
KMI_6418,2006,6,2.1
KMI_6418,2006,7,3.97
KMI_6418,2006,8,14.82
KMI_6418,2006,9,1.4
KMI_6418,2006,10,64.01
KMI_6418,2006,11,8.26
KMI_6418,2006,12,0.64
KMI_6418,2006,13,14.61
KMI_6418,2006,14,5.25
KMI_6418,2006,15,628.43
KMI_6418,2006,16,297.62
KMI_6418,2006,17,0.0
KMI_6418,2006,18,1.35
KMI_6418,2006,19,12.6
KMI_6418,2006,20,39.57
KMI_6418,2006,21,11.39
KMI_6418,2006,22,12.08
KMI_6418,2006,23,10.66
KMI_6418,2006,24,8.68
KMI_6418,2007,1,25.71
KMI_6418,2007,2,18.52
KMI_6418,2007,3,5.54
KMI_6418,2007,4,11.63
KMI_6418,2007,5,4.17
KMI_6418,2007,6,1.95
KMI_6418,2007,7,0.0
KMI_6418,2007,8,0.0
KMI_6418,2007,9,7.45
KMI_6418,2007,10,23.18
KMI_6418,2007,11,306.28
KMI_6418,2007,12,159.91
KMI_6418,2007,13,95.68
KMI_6418,2007,14,255.63
KMI_6418,2007,15,16.16
KMI_6418,2007,16,3.86
KMI_6418,2007,17,0.0
KMI_6418,2007,18,46.47
KMI_6418,2007,19,8.19
KMI_6418,2007,20,9.21
KMI_6418,2007,21,11.52
KMI_6418,2007,22,0.9
KMI_6418,2007,23,12.58
KMI_6418,2007,24,0.87
KMI_6418,2008,1,1.29
KMI_6418,2008,2,4.32
KMI_6418,2008,3,0.0
KMI_6418,2008,4,1.84
KMI_6418,2008,5,15.96
KMI_6418,2008,6,21.3
KMI_6418,2008,7,2.37
KMI_6418,2008,8,3.62
KMI_6418,2008,9,7.92
KMI_6418,2008,10,40.04
KMI_6418,2008,11,76.55
KMI_6418,2008,12,0.0
KMI_6418,2008,13,0.0
KMI_6418,2008,14,59.8
KMI_6418,2008,15,270.43
KMI_6418,2008,16,31.3
KMI_6418,2008,17,181.17
KMI_6418,2008,18,5.51
KMI_6418,2008,19,19.66
KMI_6418,2008,20,11.67
KMI_6418,2008,21,33.09
KMI_6418,2008,22,3.75
KMI_6418,2008,23,32.6
KMI_6418,2008,24,0.0
KMI_6418,2009,1,0.18
KMI_6418,2009,2,0.21
KMI_6418,2009,3,2.82
KMI_6418,2009,4,0.0
KMI_6418,2009,5,0.67
KMI_6418,2009,6,11.77
KMI_6418,2009,7,0.0
KMI_6418,2009,8,5.98
KMI_6418,2009,9,2.08
KMI_6418,2009,10,149.14
KMI_6418,2009,11,60.76
KMI_6418,2009,12,0.0
KMI_6418,2009,13,194.04
KMI_6418,2009,14,49.1
KMI_6418,2009,15,14.38
KMI_6418,2009,16,3.89
KMI_6418,2009,17,1.02
KMI_6418,2009,18,0.0
KMI_6418,2009,19,256.75
KMI_6418,2009,20,0.1
KMI_6418,2009,21,23.04
KMI_6418,2009,22,347.24
KMI_6418,2009,23,70.86
KMI_6418,2009,24,10.61
KMI_6418,2010,1,0.93
KMI_6418,2010,2,3.49
KMI_6418,2010,3,0.6
KMI_6418,2010,4,9.54
KMI_6418,2010,5,0.0
KMI_6418,2010,6,3.82
KMI_6418,2010,7,0.68
KMI_6418,2010,8,4.65
KMI_6418,2010,9,129.4
KMI_6418,2010,10,1.22
KMI_6418,2010,11,331.56
KMI_6418,2010,12,0.0
KMI_6418,2010,13,176.73
KMI_6418,2010,14,23.0
KMI_6418,2010,15,72.92
KMI_6418,2010,16,234.76
KMI_6418,2010,17,95.46
KMI_6418,2010,18,11.36
KMI_6418,2010,19,11.06
KMI_6418,2010,20,72.68
KMI_6418,2010,21,16.16
KMI_6418,2010,22,21.52
KMI_6418,2010,23,1.15
KMI_6418,2010,24,14.66
KMI_6418,2011,1,16.96
KMI_6418,2011,2,10.35
KMI_6418,2011,3,4.42
KMI_6418,2011,4,5.56
KMI_6418,2011,5,81.72
KMI_6418,2011,6,7.52
KMI_6418,2011,7,1.81
KMI_6418,2011,8,3.73
KMI_6418,2011,9,2.0
KMI_6418,2011,10,10.88
KMI_6418,2011,11,6.59
KMI_6418,2011,12,79.67
KMI_6418,2011,13,22.58
KMI_6418,2011,14,60.24
KMI_6418,2011,15,137.13
KMI_6418,2011,16,24.13
KMI_6418,2011,17,27.05
KMI_6418,2011,18,6.1
KMI_6418,2011,19,44.4
KMI_6418,2011,20,11.85
KMI_6418,2011,21,0.46
KMI_6418,2011,22,0.0
KMI_6418,2011,23,61.85
KMI_6418,2011,24,16.02
KMI_6418,2012,1,180.66
KMI_6418,2012,2,2.62
KMI_6418,2012,3,1.31
KMI_6418,2012,4,2.5
KMI_6418,2012,5,5.89
KMI_6418,2012,6,0.43
KMI_6418,2012,7,1.6
KMI_6418,2012,8,22.29
KMI_6418,2012,9,13.34
KMI_6418,2012,10,0.0
KMI_6418,2012,11,95.14
KMI_6418,2012,12,62.61
KMI_6418,2012,13,131.2
KMI_6418,2012,14,8.46
KMI_6418,2012,15,26.04
KMI_6418,2012,16,10.83
KMI_6418,2012,17,28.18
KMI_6418,2012,18,76.27
KMI_6418,2012,19,163.03
KMI_6418,2012,20,29.7
KMI_6418,2012,21,13.84
KMI_6418,2012,22,16.46
KMI_6418,2012,23,22.51
KMI_6418,2012,24,17.58
KMI_6418,2013,1,1.25
KMI_6418,2013,2,17.86
KMI_6418,2013,3,21.95
KMI_6418,2013,4,0.66
KMI_6418,2013,5,31.67
KMI_6418,2013,6,0.65
KMI_6418,2013,7,4.36
KMI_6418,2013,8,1.24
KMI_6418,2013,9,103.0
KMI_6418,2013,10,130.25
KMI_6418,2013,11,2.21
KMI_6418,2013,12,680.76
KMI_6418,2013,13,68.88
KMI_6418,2013,14,17.64
KMI_6418,2013,15,8.44
KMI_6418,2013,16,46.03
KMI_6418,2013,17,56.02
KMI_6418,2013,18,2.34
KMI_6418,2013,19,83.3
KMI_6418,2013,20,52.07
KMI_6418,2013,21,77.84
KMI_6418,2013,22,8.28
KMI_6418,2013,23,7.95
KMI_6418,2013,24,4.81
KMI_6418,2014,1,13.15
KMI_6418,2014,2,5.95
KMI_6418,2014,3,1.33
KMI_6418,2014,4,2.18
KMI_6418,2014,5,0.64
KMI_6418,2014,6,5.52
KMI_6418,2014,7,221.56
KMI_6418,2014,8,12.82
KMI_6418,2014,9,3.23
KMI_6418,2014,10,43.36
KMI_6418,2014,11,47.43
KMI_6418,2014,12,1.67
KMI_6418,2014,13,41.93
KMI_6418,2014,14,336.79
KMI_6418,2014,15,21.59
KMI_6418,2014,16,170.7
KMI_6418,2014,17,0.0
KMI_6418,2014,18,0.18
KMI_6418,2014,19,13.16
KMI_6418,2014,20,7.24
KMI_6418,2014,21,7.08
KMI_6418,2014,22,0.65
KMI_6418,2014,23,15.27
KMI_6418,2014,24,4.93
KMI_6418,2015,1,55.57
KMI_6418,2015,2,15.53
KMI_6418,2015,3,1.94
KMI_6418,2015,4,13.86
KMI_6418,2015,5,0.12
KMI_6418,2015,6,9.38
KMI_6418,2015,7,0.45
KMI_6418,2015,8,1.96
KMI_6418,2015,9,14.71
KMI_6418,2015,10,2.74
KMI_6418,2015,11,262.94
KMI_6418,2015,12,6.56
KMI_6418,2015,13,24.44
KMI_6418,2015,14,208.98
KMI_6418,2015,15,80.59
KMI_6418,2015,16,307.21
KMI_6418,2015,17,91.32
KMI_6418,2015,18,16.61
KMI_6418,2015,19,2.96
KMI_6418,2015,20,3.53
KMI_6418,2015,21,1.33
KMI_6418,2015,22,58.66
KMI_6418,2015,23,5.5
KMI_6418,2015,24,4.36
KMI_6418,2016,1,14.84
KMI_6418,2016,2,13.14
KMI_6418,2016,3,12.32
KMI_6418,2016,4,7.15
KMI_6418,2016,5,25.29
KMI_6418,2016,6,5.09
KMI_6418,2016,7,7.98
KMI_6418,2016,8,3.42
KMI_6418,2016,9,7.97
KMI_6418,2016,10,28.9
KMI_6418,2016,11,4.04
KMI_6418,2016,12,76.42
KMI_6418,2016,13,40.0
KMI_6418,2016,14,10.72
KMI_6418,2016,15,19.0
KMI_6418,2016,16,7.55
KMI_6418,2016,17,0.33
KMI_6418,2016,18,4.5
KMI_6418,2016,19,25.67
KMI_6418,2016,20,27.97
KMI_6418,2016,21,50.58
KMI_6418,2016,22,31.64
KMI_6418,2016,23,0.0
KMI_6418,2016,24,0.18
KMI_6418,2017,1,31.18
KMI_6418,2017,2,0.13
KMI_6418,2017,3,3.14
KMI_6418,2017,4,26.15
KMI_6418,2017,5,5.36
KMI_6418,2017,6,0.87
KMI_6418,2017,7,0.11
KMI_6418,2017,8,8.46
KMI_6418,2017,9,7.09
KMI_6418,2017,10,96.34
KMI_6418,2017,11,3.35
KMI_6418,2017,12,2.03
KMI_6418,2017,13,61.62
KMI_6418,2017,14,119.04
KMI_6418,2017,15,58.45
KMI_6418,2017,16,193.69
KMI_6418,2017,17,187.43
KMI_6418,2017,18,102.09
KMI_6418,2017,19,14.93
KMI_6418,2017,20,3.95
KMI_6418,2017,21,5.49
KMI_6418,2017,22,31.53
KMI_6418,2017,23,53.14
KMI_6418,2017,24,5.98
KMI_6418,2018,1,11.51
KMI_6418,2018,2,8.72
KMI_6418,2018,3,3.54
KMI_6418,2018,4,0.33
KMI_6418,2018,5,31.26
KMI_6418,2018,6,3.14
